Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
VIDEO_PLAYERS,171,0,Everyone,Video Players & Editors,0.048,10000,0.0,2017,8,10,4.1,1
FAMILY,110,0,Everyone,Simulation,0.22,5000,0.0,2017,4,23,2.3,1
COMMUNICATION,9,1,Everyone,Communication,7.8,100,0.99,2015,5,19,2.0,0
COMMUNICATION,560,0,Everyone,Communication,0.37,10000,0.0,2018,7,25,4.4,1
SHOPPING,141613,0,Teen,Shopping,0.22,10000000,0.0,2018,7,31,4.4,3
GAME,18621,1,Everyone,Board,0.63,100000,2.99,2018,7,4,4.4,2
GAME,96028,0,Teen,Arcade,0.59,1000000,0.0,2018,5,28,4.0,3
SHOPPING,38,0,Everyone,Shopping,0.011000000000000001,10000,0.0,2018,7,1,4.0,1
TRAVEL_AND_LOCAL,0,1,Everyone,Travel & Local,0.56,0,3.99,2017,1,22,4.1,0
GAME,18125,1,Everyone,Simulation;Education,0.15,100000,4.99,2018,7,9,4.4,2
FAMILY,309,0,Everyone,Entertainment,0.19,10000,0.0,2017,6,22,4.2,1
FAMILY,25,0,Everyone,Entertainment,0.055999999999999994,5000,0.0,2018,7,4,4.0,1
GAME,42079,0,Everyone,Board,0.93,5000000,0.0,2018,7,5,4.1,3
TRAVEL_AND_LOCAL,1,0,Everyone,Travel & Local,0.22,100,0.0,2017,8,19,4.0,0
BUSINESS,54,0,Everyone,Business,0.077,1000,0.0,2016,2,29,4.0,1
FINANCE,257,0,Everyone,Finance,0.44,10000,0.0,2018,7,31,4.4,1
FAMILY,1655,0,Everyone,Role Playing,0.83,100000,0.0,2018,8,2,4.3,2
FAMILY,159,0,Everyone,Education;Education,0.13,10000,0.0,2015,2,3,4.0,1
FINANCE,460,0,Everyone,Finance,0.061,100000,0.0,2018,7,16,4.0,1
DATING,76646,0,Mature 17+,Dating,0.3928871096877502,10000000,0.0,2018,7,23,3.8377519379844967,3
FAMILY,3136,0,Everyone,Entertainment,0.027000000000000003,100000,0.0,2018,6,27,4.0,2
SPORTS,5305,0,Everyone,Sports,0.3928871096877502,100000,0.0,2018,5,18,3.8377519379844967,2
TRAVEL_AND_LOCAL,20313,0,Everyone,Travel & Local,0.57,100000,0.0,2018,8,5,4.4,2
BOOKS_AND_REFERENCE,51269,0,Everyone,Books & Reference,0.061,1000000,0.0,2018,7,19,4.2,3
DATING,3,0,Mature 17+,Dating,0.16,1000,0.0,2018,7,15,4.0,0
PRODUCTIVITY,1880,1,Everyone,Productivity,0.18,50000,1.49,2018,7,1,4.3,2
GAME,56496,0,Teen,Action,0.81,1000000,0.0,2018,8,7,4.0,3
PRODUCTIVITY,8,0,Everyone,Productivity,0.032,100,0.0,2017,11,4,4.1,0
PERSONALIZATION,30498,0,Everyone,Personalization,0.059000000000000004,1000000,0.0,2015,3,11,3.2,3
AUTO_AND_VEHICLES,348,0,Everyone,Auto & Vehicles,0.38,100000,0.0,2018,7,29,2.3,1
BOOKS_AND_REFERENCE,12322,0,Everyone,Books & Reference,0.27,500000,0.0,2016,12,17,2.3,2
LIBRARIES_AND_DEMO,375,0,Everyone,Libraries & Demo,0.15,10000,0.0,2018,6,1,4.0,1
PRODUCTIVITY,0,0,Everyone,Productivity,0.54,1,0.0,2017,11,29,4.0,0
MEDICAL,34,0,Everyone,Medical,0.032,1000,0.0,2016,10,12,3.0,1
TOOLS,163997,0,Everyone,Tools,0.16,10000000,0.0,2018,8,5,4.2,3
BUSINESS,0,0,Everyone,Business,0.031,10,0.0,2018,3,29,4.0,0
BUSINESS,1,0,Everyone,Business,0.13,50,0.0,2017,10,3,4.2,0
MAPS_AND_NAVIGATION,8465,0,Everyone,Maps & Navigation,0.08900000000000001,10000000,0.0,2018,5,3,4.1,2
LIFESTYLE,34327,0,Everyone,Lifestyle,0.081,5000000,0.0,2018,7,17,4.0,3
TRAVEL_AND_LOCAL,421800,0,Teen,Travel & Local,0.3928871096877502,10000000,0.0,2018,7,27,3.8377519379844967,3
PHOTOGRAPHY,74476,0,Everyone,Photography,0.23,10000000,0.0,2018,6,19,4.0,3
FINANCE,111254,0,Everyone,Finance,0.07400000000000001,1000000,0.0,2018,7,3,4.0,3
BOOKS_AND_REFERENCE,116507,0,Teen,Books & Reference,0.05,1000000,0.0,2018,8,1,4.0,3
TOOLS,154,0,Everyone,Tools,0.17,10000,0.0,2018,7,16,4.1,1
PRODUCTIVITY,2764964,0,Everyone,Productivity,0.3928871096877502,100000000,0.0,2018,8,2,3.8377519379844967,3
COMMUNICATION,88427,0,Everyone,Communication,0.051,5000000,0.0,2018,1,6,4.0,3
SPORTS,539,0,Everyone,Sports,0.3928871096877502,10000,0.0,2016,8,23,3.8377519379844967,1
GAME,10979062,0,Everyone 10+,Action,0.88,100000000,0.0,2018,7,2,3.0,3
VIDEO_PLAYERS,6716,0,Mature 17+,Video Players & Editors,0.047,500000,0.0,2018,6,25,4.4,2
FAMILY,91,0,Everyone,Education,0.25,10000,0.0,2018,4,5,4.1,1
FAMILY,513,0,Everyone,Simulation,0.34,100000,0.0,2017,12,5,4.0,1
BUSINESS,1,0,Everyone,Business,9.21,100,0.0,2016,3,11,3.0,0
FAMILY,636,0,Everyone,Casual,0.04,100000,0.0,2018,6,21,4.0,1
SOCIAL,38826,0,Everyone,Social,0.07,10000000,0.0,2018,8,7,4.1,3
HEALTH_AND_FITNESS,126017,0,Everyone,Health & Fitness,0.043,5000000,0.0,2018,7,5,4.0,3
LIFESTYLE,6676,0,Everyone,Lifestyle,0.062,1000000,0.0,2018,2,21,4.2,2
HEALTH_AND_FITNESS,2057,1,Everyone,Health & Fitness,0.062,50000,1.99,2017,10,18,4.0,2
GAME,13388,0,Everyone,Arcade,0.071,500000,0.0,2015,8,24,2.2,2
TRAVEL_AND_LOCAL,8258,0,Everyone,Travel & Local,0.22,1000000,0.0,2018,7,3,4.4,2
MEDICAL,2,0,Everyone,Medical,0.16,500,0.0,2018,7,17,4.4,0
FAMILY,262,0,Everyone,Puzzle,0.29,50000,0.0,2017,11,1,4.0,1
PHOTOGRAPHY,348,0,Everyone,Photography,0.015,10000,0.0,2014,4,11,2.0,1
FINANCE,21570,0,Everyone,Finance,0.27,1000000,0.0,2018,6,19,4.0,2
